Codi_Districte,Nom_Districte,Any,prestamos_presenciales,poblacion,pct_mayores,pct_joven,pct_extranjera,renta_per_capita,prestamos_per_capita,indice_base100,fondo_documental,oferta_per_capita,rotacion_fondo,ipc,renta_real
10,Sant Martí,2012,406623,232738,19.5,28.6,15.8,,1.75,97.9,311960,1.34,1.3,,
10,Sant Martí,2013,475684,233035,19.7,28.3,15.9,,2.04,114.5,335585,1.44,1.42,,
10,Sant Martí,2014,590646,232665,20.1,27.9,15.6,,2.54,142.2,322288,1.39,1.83,,
10,Sant Martí,2015,598888,233660,20.2,27.8,15.1,18982.0,2.56,144.2,335527,1.44,1.78,95.9,19794.0
10,Sant Martí,2016,545512,234170,20.3,27.8,15.3,19303.0,2.33,131.4,346402,1.48,1.57,95.7,20170.0
10,Sant Martí,2017,502894,236039,20.3,28.0,16.5,19281.0,2.13,121.1,357564,1.51,1.41,97.7,19735.0
10,Sant Martí,2018,469813,236999,20.3,28.3,17.4,19484.0,1.98,113.1,366150,1.54,1.28,99.3,19621.0
10,Sant Martí,2019,467305,239965,20.3,28.4,19.0,20354.0,1.95,112.5,371029,1.55,1.26,100.0,20354.0
10,Sant Martí,2020,240494,241578,20.3,28.5,20.4,19099.0,1.0,57.9,363360,1.5,0.66,99.7,19156.0
10,Sant Martí,2021,392891,241181,20.3,28.3,21.1,20499.0,1.63,94.6,352831,1.46,1.11,102.8,19941.0
10,Sant Martí,2022,508895,239465,20.5,28.0,21.2,21408.0,2.13,122.5,363394,1.52,1.4,111.4,19217.0
10,Sant Martí,2023,540859,242752,20.4,28.3,22.9,,2.23,130.2,364074,1.5,1.49,,
10,Sant Martí,2024,548878,249206,20.3,28.5,25.0,,2.2,132.2,355368,1.43,1.54,,
